,SCHOOL NAME,CITY,COUNTY,ZIP,SCHOOL TYPE,ENROLLED,% IMMUNE MMR
1035,G FRANK DAVIDSON,PHOENIX,MARICOPA,85033.0,PUBLIC,110,1.0
1036,HERMOSA VISTA ELEMENTARY SCHOOL,MESA,MARICOPA,85213.0,PUBLIC,110,0.89
1037,KYRENE DEL CIELO SCHOOL,CHANDLER,MARICOPA,85226.0,PUBLIC,110,0.95
1038,COPPER RIM ELEMENTARY SCHOOL,GLOBE,GILA,85501.0,PUBLIC,111,0.98
1039,HALEY ELEMENTARY,CHANDLER,MARICOPA,85286.0,PUBLIC,111,0.96
1040,PARKRIDGE ELEMENTARY,PEORIA,MARICOPA,85382.0,PUBLIC,111,0.93
1041,ROGERS RANCH SCHOOL,LAVEEN,MARICOPA,85339.0,PUBLIC,111,0.95
1042,VENTANA VISTA ELEMENTARY SCHOOL,TUCSON,PIMA,85750.0,PUBLIC,111,0.93
1043,TRAILSIDE POINT ELEMENTARY,LAVEEN,MARICOPA,85339.0,PUBLIC,111,0.93
1044,ANZA TRAIL ELEMENTARY,SAHUARITA,PIMA,85629.0,PUBLIC,112,1.0
1045,CAMP VERDE MIDDLE SCHOOL,CAMP VERDE,YAVAPAI,86322.0,PUBLIC,112,0.77
1046,CORTE SIERRA ELEMENTARY SCHOOL,AVONDALE,MARICOPA,85392.0,PUBLIC,112,0.94
1047,FRANK BORMAN MIDDLE SCHOOL,PHOENIX,MARICOPA,85031.0,PUBLIC,112,0.99
1048,FRANKLIN ELEMENTARY SCHOOL,MESA,MARICOPA,85204.0,PUBLIC,112,0.94
1049,HIGHLAND PRIMARY SCHOOL,SNOWFLAKE,NAVAJO,85937.0,PUBLIC,112,0.91
1050,SYCAMORE ELEMENTARY,VAIL,PIMA,85641.0,PUBLIC,112,0.95
1051,TWIN PEAKS ELEMENTARY SCHOOL,TUCSON,PIMA,85743.0,PUBLIC,112,0.94
1052,BLUE RIDGE ELEMENTARY SCHOOL,LAKESIDE,NAVAJO,85929.0,PUBLIC,113,0.88
1053,GLADDEN FARMS ELEMENTARY SCHOOL,MARANA,PIMA,85653.0,PUBLIC,113,0.95
1054,GREAT HEART ACADEMIES ARCHWAY LINCOLN,CHANDLER,MARICOPA,,CHARTER,113,0.91
1055,LA PALOMA ACADEMY - LAKESIDE,TUCSON,PIMA,,CHARTER,113,0.99
1056,SUNRISE ELEMENTARY SCHOOL,YUMA,YUMA,85367.0,PUBLIC,113,0.97
1057,HIGLEY TRADITIONAL ACADEMY,GILBERT,MARICOPA,85295.0,PUBLIC,114,0.93
1058,MADISON CAMELVIEW ELEMENTARY,PHOENIX,MARICOPA,85016.0,PUBLIC,114,0.9
1059,ASHLAND ELEMENTARY,GILBERT,MARICOPA,85295.0,PUBLIC,115,0.93
1060,BASIS - PHOENIX PRIMARY,PHOENIX,MARICOPA,85028.0,CHARTER,115,0.96
1061,EMERSON ELEMENTARY SCHOOL,MESA,MARICOPA,85201.0,PUBLIC,115,0.97
1062,UNION ELEMENTARY SCHOOL,TOLLESON,MARICOPA,85353.0,PUBLIC,115,0.97
1063,THE PAIDEIA ACADEMY OF SOUTH PHOENIX,PHOENIX,MARICOPA,85042.0,CHARTER,115,0.9
1064,FIRESIDE ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85050.0,PUBLIC,116,0.92
1065,MARY A OTONDO ELEMENTARY SCHOOL,YUMA,YUMA,85365.0,PUBLIC,116,0.96
1066,MARYVALE PREPARATORY ACADEMY,PHOENIX,MARICOPA,85031.0,CHARTER,116,0.92
1067,TRAILSIDE POINT ELEMENTARY,LAVEEN,MARICOPA,85339.0,PUBLIC,116,0.89
